species,tissue_type,cancer_type,cell_type,cell_name,marker,Symbol,Genename
Human,Chorionic villi,Normal,Normal cell,CD106+ mesenchymal stem cell,CD106,VCAM1,vascular cell adhesion molecule 1
Human,Chorionic villi,Normal,Normal cell,CD106+ mesenchymal stem cell,CD248,CD248,CD248 molecule
Human,Chorionic villi,Normal,Normal cell,CD106+ mesenchymal stem cell,CD47,CD47,CD47 molecule
Human,Pleura,Malignant Mesothelioma,Cancer cell,Malignant mesothelioma cell,CA125,MUC16,"mucin 16, cell surface associated"
Human,Pleura,Malignant Mesothelioma,Cancer cell,Mesothelioma cell,HBME-1,,
Human,Prostate,Normal,Normal cell,Luminal cell,Cytokeratin-18,,
Human,Prostate,Normal,Normal cell,Luminal cell,Cytokeratin-8,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Luminal cell,CAM 5.2,,
Human,Prostate,Normal,Normal cell,Basal cell,Keratin-14,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Basal cell,Keratin-5,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Basal cell,Keratin-5,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Early transit-amplifying prostate epithelial cell,PSCA,PSCA,prostate stem cell antigen
Human,Prostate,Normal,Normal cell,Late transit-amplifying prostate epithelial cell,PSCA,PSCA,prostate stem cell antigen
Human,Prostate,Normal,Normal cell,Luminal cell,Cytokeratin-18,,
Human,Prostate,Normal,Normal cell,Basal cell,Keratin-5,,
Human,Prostate,Normal,Normal cell,Basal cell,Calcyclin,,
Human,Prostate,Normal,Normal cell,Basal cell,TSC-22,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,Integrin alpha2beta1,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Prostate Cancer,Cancer cell,Basal cell,P63,,
Human,Prostate,Prostate Cancer,Cancer cell,Basal cell,P63,,
Mouse,Prostate,Normal,Normal cell,Luminal epithelial cell,CD24,,
Mouse,Prostate,Normal,Normal cell,Hematopoietic cell,CD45,,
Mouse,Prostate,Normal,Normal cell,Luminal epithelial cell,CD49f,,
Mouse,Prostate,Normal,Normal cell,Basal epithelial cell,CD24,,
Mouse,Prostate,Normal,Normal cell,Stromal cell,CD34,,
Mouse,Prostate,Normal,Normal cell,Hematopoietic cell,TER119,,
Mouse,Prostate,Normal,Normal cell,Endothelial cell,CD31,,
Mouse,Prostate,Normal,Normal cell,Basal epithelial cell,CD49f,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Basal cell,HMWCK,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Basal cell,HMWCK,,
Human,Prostate,Normal,Normal cell,Luminal cell,Androgen receptor,,
Human,Prostate,Normal,Normal cell,Luminal cell,Cytokeratin-18,,
Human,Prostate,Normal,Normal cell,Luminal cell,Cytokeratin-8,,
Human,Prostate,Prostate Cancer,Cancer cell,Basal cell,P63,,
Human,Prostate,Prostate Cancer,Cancer cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Stem cell,CD133,PROM1,prominin 1
Mouse,Prostate,Normal,Normal cell,Prostate stem cell,Sca-1,Ly6a,"lymphocyte antigen 6 complex, locus A"
Mouse,Prostate,Normal,Normal cell,Prostate stem cell,Lin,,
Mouse,Prostate,Normal,Normal cell,Prostate stem cell,CD133,Prom1,prominin 1
Mouse,Prostate,Normal,Normal cell,Prostate stem cell,CD117,Kit,KIT proto-oncogene receptor tyrosine kinase
Human,Prostate,Normal,Normal cell,Stem cell,SCA-1,CASP3,caspase 3
Human,Prostate,Normal,Normal cell,Stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Mouse,Prostate,Normal,Normal cell,Prostate stem cell,CD44,,
Human,Prostate,Normal,Normal cell,Basal cell,TEAD1,TEAD1,TEA domain transcription factor 1
Human,Prostate,Prostate Cancer,Cancer cell,Epithelial cell,AMACR,AMACR,alpha-methylacyl-CoA racemase
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Prostate Cancer,Cancer cell,Progenitor cell,CK19,KRT19,keratin 19
Human,Prostate,Prostate Cancer,Cancer cell,Progenitor cell,SCA-1,CASP3,caspase 3
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Prostate Cancer,Cancer cell,Epithelial cell,Beta-catenin,,
Human,Prostate,Prostate Cancer,Cancer cell,Epithelial cell,E-Cadherin,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Prostate Cancer,Cancer cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD24,CD24,CD24 molecule
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Normal,Normal cell,Cancer stem cell,Integrin alpha2beta1,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,CXCR4,CXCR4,C-X-C motif chemokine receptor 4
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Normal,Normal cell,Cancer stem cell,ABCG2,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
Human,Prostate,Normal,Normal cell,Cancer stem cell,Integrin alpha2beta1,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Prostate Cancer,Cancer cell,Progenitor cell,CK5,KRT5,keratin 5
Human,Prostate,Prostate Cancer,Cancer cell,Progenitor cell,ABCG2,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
Human,Prostate,Normal,Normal cell,Epithelial cell,Androgen receptor,,
Human,Prostate,Normal,Normal cell,Epithelial cell,Cytokeratin-8,,
Human,Prostate,Normal,Normal cell,Epithelial cell,P63,,
Human,Prostate,Normal,Normal cell,Epithelial cell,Cytokeratin-18,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Epithelial cell,E-Cadherin,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Prostate Cancer,Cancer cell,Epithelial cell,E-Cadherin,,
Mouse,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD166,Alcam,activated leukocyte cell adhesion molecule
Mouse,Prostate,Normal,Normal cell,Prostate stem cell,CD166,Alcam,activated leukocyte cell adhesion molecule
Mouse,Prostate,Normal,Normal cell,Prostate progenitor cell,CD166,Alcam,activated leukocyte cell adhesion molecule
Human,Prostate,Normal,Normal cell,Colony-forming cell,CD49f,ITGA6,integrin subunit alpha 6
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Prostate Cancer,Cancer cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Luminal cell,Cytokeratin-18,,
Human,Prostate,Normal,Normal cell,Basal cell,P63,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Normal,Normal cell,Cancer stem cell,ALDH-1,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,CXCR4,CXCR4,C-X-C motif chemokine receptor 4
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD24,CD24,CD24 molecule
Human,Prostate,Normal,Normal cell,Cancer stem cell,EpCAM,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD49,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,HGF,HGF,interleukin 6
Human,Prostate,Normal,Normal cell,Stem cell,CD166,ALCAM,activated leukocyte cell adhesion molecule
Human,Prostate,Normal,Normal cell,Stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Normal,Normal cell,Stem cell,TROP2,TACSTD2,tumor associated calcium signal transducer 2
Human,Prostate,Normal,Normal cell,Epithelial cell,E-Cadherin,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,Nestin,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD49b,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,ABCG2,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,4.Oct,POU5F1,POU class 5 homeobox 1 pseudogene 3
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,BMI1,BMI1,COMMD3-BMI1 readthrough
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,NANOG,NANOG,Nanog homeobox
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,Jagged-1,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD49f,ITGA6,integrin subunit alpha 6
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,Patched,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,deltaNp63,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,Smoothened,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD201,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,HES1,HES1,glutamine amidotransferase class 1 domain containing 3
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,SOX2,SOX2,SRY-box transcription factor 2
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD117,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
Human,Prostate,Normal,Normal cell,Prostate stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,Integrin alpha2beta1,,
Human,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Prostate Cancer,Cancer cell,Basal cell,TAZ,TAFAZZIN,"tafazzin, phospholipid-lysophospholipid transacylase"
Human,Prostate,Prostate Cancer,Cancer cell,Epithelial cell,E-Cadherin,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,POU5F1,POU5F1,POU class 5 homeobox 1 pseudogene 3
Human,Prostate,Normal,Normal cell,Cancer stem cell,EZH2,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Prostate,Normal,Normal cell,Cancer stem cell,PSCA,PSCA,prostate stem cell antigen
Human,Prostate,Normal,Normal cell,Cancer stem cell,ITGA2,ITGA2,integrin subunit alpha 2
Human,Prostate,Normal,Normal cell,Cancer stem cell,PROM1,PROM1,prominin 1
Human,Prostate,Normal,Normal cell,Cancer stem cell,TACSTD2,TACSTD2,tumor associated calcium signal transducer 2
Human,Prostate,Normal,Normal cell,Epithelial cell,E-Cadherin,,
Human,Prostate,Normal,Normal cell,Basal cell,Keratin-5,,
Human,Prostate,Normal,Normal cell,Cancer stem cell,CD133,PROM1,prominin 1
Human,Prostate,Normal,Normal cell,Mesenchymal cell,VIM,VIM,vimentin
Human,Prostate,Normal,Normal cell,Epithelial cell,ESRP2,ESRP2,epithelial splicing regulatory protein 2
Human,Prostate,Normal,Normal cell,Epithelial cell,ESRP1,ESRP1,epithelial splicing regulatory protein 1
Human,Prostate,Normal,Normal cell,Mesenchymal cell,ZEB1,ZEB1,zinc finger E-box binding homeobox 1
Human,Prostate,Normal,Normal cell,Epithelial cell,CDH1,CDH1,fizzy and cell division cycle 20 related 1
Human,Prostate,Normal,Normal cell,Epithelial cell,EPCAM,EPCAM,epithelial cell adhesion molecule
Human,Prostate,Normal,Normal cell,Cancer-associated fibroblast,CD90,THY1,Thy-1 cell surface antigen
Human,Prostate,Normal,Normal cell,Dentate granule cell,DCX,DCX,doublecortin
Mouse,Prostate,Prostate Cancer,Cancer cell,Basal cell,P63,Trp63,transformation related protein 63
Mouse,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD133,Prom1,prominin 1
Mouse,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,CD44,,
Mouse,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,SOX2,,
Mouse,Prostate,Prostate Cancer,Cancer cell,Cancer stem cell,NANOG,,
Human,Prostate,Prostate Cancer,Cancer cell,LNCaP cell,CK9,,
Human,Prostate,Prostate Cancer,Cancer cell,LNCaP cell,CK44,,
Mouse,Prostate,Prostate Cancer,Cancer cell,Neuron,S100,S100a1,S100 calcium binding protein A1
Mouse,Prostate,Prostate Cancer,Cancer cell,Mesenchymal cell,VIM,,
Mouse,Prostate,Prostate Cancer,Cancer cell,Epithelial cell,KRT8,,
Mouse,Prostate,Prostate Cancer,Cancer cell,Epithelial cell,AR,Akr1b3,"aldo-keto reductase family 1, member B3 (aldose reductase)"
Mouse,Prostate,Normal,Normal cell,Basal cell,P63,Trp63,transformation related protein 63
Mouse,Prostate,Normal,Normal cell,Basal cell,CK5,Krt5,keratin 5
Mouse,Prostate,Normal,Normal cell,Intestinal stem cell,CK8,,
Human,Prostate,Neuroendocrine prostate cancer,Cancer cell,Stem cell,SOX2,SOX2,SRY-box transcription factor 2
